t,alpha,w,h,ring,horns,eyes,copy,drain,line,tilt,turn,squash,wink,horn_lag,frame
392,1.000000,308,49,0.000000,0.000000,0.000000,0.000000,1.000000,0.751724,0.000000,0.000000,1.000000,0.000000,0.000000,0
396,1.000000,308,50,0.000000,0.000000,0.000000,0.000000,1.000000,0.737931,0.000000,0.000000,1.000000,0.000000,0.000000,0
400,1.000000,308,52,0.000000,0.000000,0.000000,0.000000,1.000000,0.724138,0.000000,0.000000,1.000000,0.000000,0.000000,0
404,1.000000,308,54,0.000000,0.000000,0.000000,0.000000,1.000000,0.710345,0.000000,0.000000,1.000000,0.000000,0.000000,0
408,1.000000,308,55,0.000000,0.000000,0.000000,0.000000,1.000000,0.696552,0.000000,0.000000,1.000000,0.000000,0.000000,0
412,1.000000,308,56,0.000000,0.000000,0.000000,0.000000,1.000000,0.682759,0.000000,0.000000,1.000000,0.000000,0.000000,0
416,1.000000,308,58,0.000000,0.000000,0.000000,0.000000,1.000000,0.668966,0.000000,0.000000,1.000000,0.000000,0.000000,0
420,1.000000,308,59,0.000000,0.000000,0.000000,0.000000,1.000000,0.655172,0.000000,0.000000,1.000000,0.000000,0.000000,0
424,1.000000,308,60,0.000000,0.000000,0.000000,0.000000,1.000000,0.641379,0.000000,0.000000,1.000000,0.000000,0.000000,0
428,1.000000,308,61,0.000000,0.000000,0.000000,0.000000,1.000000,0.627586,0.000000,0.000000,1.000000,0.000000,0.000000,0
432,1.000000,308,63,0.000000,0.000000,0.000000,0.000000,1.000000,0.613793,0.000000,0.000000,1.000000,0.000000,0.000000,0
436,1.000000,308,64,0.000000,0.000000,0.000000,0.000000,1.000000,0.600000,0.000000,0.000000,1.000000,0.000000,0.000000,0
440,1.000000,308,65,0.000000,0.000000,0.000000,0.000000,1.000000,0.586207,0.000000,0.000000,1.000000,0.000000,0.000000,1
444,1.000000,308,65,0.000160,0.000000,0.000000,0.065754,1.000000,0.572414,0.000000,0.000000,1.000000,0.000000,0.000000,1
448,1.000000,308,66,0.000650,0.000000,0.000000,0.128404,1.000000,0.558621,0.000000,0.000000,1.000000,0.000000,0.000000,2
452,1.000000,308,67,0.001485,0.000000,0.000000,0.188049,1.000000,0.544828,0.000000,0.000000,1.000000,0.000000,0.000000,2
